"year";"orgnr";"var";"denominator";"ind_id"
2010;974749025;286;366;"hoftebrudd_dekgrad_prim_brudd"
2011;974749025;367;425;"hoftebrudd_dekgrad_prim_brudd"
2012;974749025;330;398;"hoftebrudd_dekgrad_prim_brudd"
2013;974749025;328;407;"hoftebrudd_dekgrad_prim_brudd"
2014;974749025;345;415;"hoftebrudd_dekgrad_prim_brudd"
2015;974749025;326;424;"hoftebrudd_dekgrad_prim_brudd"
2016;974749025;325;390;"hoftebrudd_dekgrad_prim_brudd"
2017;974749025;282;379;"hoftebrudd_dekgrad_prim_brudd"
2018;974749025;319;419;"hoftebrudd_dekgrad_prim_brudd"
2008;974749505;11;12;"hoftebrudd_dekgrad_prim_brudd"
2009;974749505;8;10;"hoftebrudd_dekgrad_prim_brudd"
2010;974749505;6;6;"hoftebrudd_dekgrad_prim_brudd"
2011;974749505;0;1;"hoftebrudd_dekgrad_prim_brudd"
2008;974753898;99;118;"hoftebrudd_dekgrad_prim_brudd"
2009;974753898;67;86;"hoftebrudd_dekgrad_prim_brudd"
2010;974753898;70;84;"hoftebrudd_dekgrad_prim_brudd"
2011;974753898;61;84;"hoftebrudd_dekgrad_prim_brudd"
2012;974753898;71;78;"hoftebrudd_dekgrad_prim_brudd"
2013;974753898;72;89;"hoftebrudd_dekgrad_prim_brudd"
2014;974753898;82;88;"hoftebrudd_dekgrad_prim_brudd"
2015;974753898;71;80;"hoftebrudd_dekgrad_prim_brudd"
2016;974753898;69;75;"hoftebrudd_dekgrad_prim_brudd"
2017;974753898;72;77;"hoftebrudd_dekgrad_prim_brudd"
2018;974753898;88;97;"hoftebrudd_dekgrad_prim_brudd"
2008;974754118;146;167;"hoftebrudd_dekgrad_prim_brudd"
2009;974754118;170;187;"hoftebrudd_dekgrad_prim_brudd"
2010;974754118;175;193;"hoftebrudd_dekgrad_prim_brudd"
2011;974754118;165;173;"hoftebrudd_dekgrad_prim_brudd"
2012;974754118;137;157;"hoftebrudd_dekgrad_prim_brudd"
2013;974754118;166;184;"hoftebrudd_dekgrad_prim_brudd"
2014;974754118;164;175;"hoftebrudd_dekgrad_prim_brudd"
